2022-12-14 20:24:51.876434: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:24:52.805624: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:24:53.230404: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:24:53.975318: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:24:54.401316: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:24:55.273215: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:24:55.984251: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:24:56.634590: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:24:57.267708: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:24:57.881415: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:26:58.967128: memoryview: a bytes-like object is required, not 'ClientOSError'
2022-12-14 20:26:59.641385: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:00.371513: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:00.836916: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:01.539046: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:02.170915: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:02.633209: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:03.105982: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:03.704927: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:04.172508: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:04.559431: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:05.154158: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:05.680517: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:05.891572: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:06.274186: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:06.744403: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:06.971624: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:07.398327: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:07.749691: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:08.176867: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:08.606099: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:09.144497: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:09.620844: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:10.040120: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:10.466438: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:11.264273: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:11.678444: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:12.037973: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:12.340266: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:13.521562: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:14.193127: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:14.699803: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:14.988828: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:15.186364: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:15.584473: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:16.155118: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:16.558053: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:17.099775: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:17.864582: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:18.257866: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:18.959801: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:19.553569: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:20.318086: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:20.873669: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:21.403646: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:22.031597: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:22.681526: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:23.393545: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:23.852751: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:24.458432: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:24.781512: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:25.480542: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:25.812541: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:27:26.348565: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:12.899430: memoryview: a bytes-like object is required, not 'ClientPayloadError'
2022-12-14 20:29:13.231292: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:14.004663: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:14.421387: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:14.765608: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:15.277438: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:15.723623: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:16.076080: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:16.761501: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:17.398034: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:18.413161: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:18.853108: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:19.164697: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:19.844267: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:20.207852: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:20.591841: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:21.166727: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:21.475375: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:22.055419: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:22.615795: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:22.998756: memoryview: a bytes-like object is required, not 'ClientConnectorError'
